date,time,heart_rate
2016-03-19,03:12:00,77
2016-03-19,03:22:00,79
2016-03-19,03:46:00,79
2016-03-19,04:03:00,79
2016-03-19,04:15:00,79
2016-03-19,04:33:00,75
2016-03-19,04:34:00,75
2016-03-19,04:58:00,75
2016-03-19,05:16:00,75
2016-03-19,05:20:00,83
2016-03-19,05:24:00,83
2016-03-19,05:47:00,83
2016-03-19,05:51:00,78
2016-03-19,05:55:00,78
2016-03-19,06:15:00,78
2016-03-19,06:28:00,78
2016-03-19,06:39:00,78
2016-03-19,07:06:00,79
2016-03-19,07:21:00,79
2016-03-19,07:31:00,78
2016-03-19,07:51:00,78
2016-03-19,07:51:00,69
2016-03-19,07:58:00,69
2016-03-19,08:17:00,69
2016-03-19,08:36:00,68
2016-03-19,08:47:00,68
2016-03-19,09:07:00,70
2016-03-19,09:13:00,86
2016-03-19,09:29:00,86
2016-03-19,09:42:00,65
2016-03-19,09:45:00,72
2016-03-19,09:51:00,78
2016-03-19,09:54:00,68
2016-03-19,10:12:00,68
2016-03-19,10:26:00,68
2016-03-19,10:33:00,74
2016-03-19,10:33:00,81
2016-03-19,10:48:00,76
2016-03-19,10:52:00,82
2016-03-19,11:03:00,93
2016-03-19,11:03:00,84
2016-03-19,11:25:00,75
2016-03-19,11:39:00,75
2016-03-19,11:55:00,79
2016-03-19,11:55:00,72
2016-03-19,12:13:00,72
2016-03-19,12:18:00,79
2016-03-19,12:25:00,74
2016-03-19,12:41:00,78
2016-03-19,12:49:00,100
2016-03-19,12:52:00,128
2016-03-19,12:58:00,87
2016-03-19,13:09:00,104
2016-03-19,13:09:00,97
2016-03-19,13:09:00,88
2016-03-19,13:44:00,97
2016-03-19,13:44:00,92
2016-03-19,13:58:00,96
2016-03-19,13:58:00,79
2016-03-19,14:19:00,79
2016-03-19,14:35:00,79
2016-03-19,14:35:00,64
2016-03-19,14:51:00,64
2016-03-19,14:58:00,58
2016-03-19,15:11:00,79
2016-03-19,15:16:00,71
2016-03-19,15:30:00,108
2016-03-19,15:30:00,99
2016-03-19,15:30:00,80
2016-03-19,15:51:00,163
2016-03-19,15:51:00,159
2016-03-19,15:51:00,159
2016-03-19,15:51:00,97
2016-03-19,15:51:00,114
2016-03-19,15:51:00,110
2016-03-19,15:51:00,104
2016-03-19,15:51:00,109
2016-03-19,15:51:00,104
2016-03-19,15:51:00,94
2016-03-19,15:51:00,94
2016-03-19,17:51:00,105
2016-03-19,17:51:00,114
2016-03-19,17:51:00,114
2016-03-19,17:51:00,109
2016-03-19,17:51:00,103
2016-03-19,17:51:00,97
2016-03-19,17:51:00,89
2016-03-19,17:51:00,101
2016-03-19,17:51:00,87
2016-03-19,19:01:00,92
2016-03-19,19:01:00,87
2016-03-19,19:23:00,103
2016-03-19,19:25:00,112
2016-03-19,19:25:00,108
2016-03-19,19:25:00,96
2016-03-19,19:25:00,100
2016-03-19,19:25:00,100
2016-03-19,19:25:00,90
2016-03-19,20:56:00,90
2016-03-19,21:07:00,90
2016-03-19,21:23:00,90
2016-03-19,21:32:00,90
2016-03-19,21:47:00,90
2016-03-19,22:11:00,90
2016-03-19,22:17:00,152
2016-03-19,22:17:00,159
2016-03-19,22:25:00,160
2016-03-19,22:25:00,88
2016-03-19,22:25:00,102
2016-03-19,22:51:00,96
2016-03-19,22:51:00,104
2016-03-19,22:51:00,90
2016-03-19,23:21:00,90
2016-03-19,23:35:00,90
2016-03-19,23:35:00,82
2016-03-20,00:00:00,86
2016-03-20,00:02:00,81
2016-03-20,00:19:00,78
2016-03-20,00:37:00,78
2016-03-20,00:47:00,111
2016-03-20,00:47:00,74
2016-03-20,00:47:00,74
2016-03-20,01:19:00,118
2016-03-20,01:19:00,111
2016-03-20,01:19:00,111
2016-03-20,01:19:00,84
2016-03-20,01:19:00,84
2016-03-20,01:19:00,76
2016-03-20,01:59:00,72
2016-03-20,02:22:00,72
2016-03-20,02:41:00,65
2016-03-20,02:43:00,65
2016-03-20,02:43:00,65
2016-03-20,03:26:00,69
2016-03-20,03:41:00,69
2016-03-20,03:53:00,69
2016-03-20,04:05:00,69
2016-03-20,04:05:00,77
2016-03-20,04:18:00,77
2016-03-20,04:39:00,77
2016-03-20,04:52:00,73
2016-03-20,05:10:00,73
2016-03-20,05:13:00,68
2016-03-20,05:13:00,68
2016-03-20,05:36:00,67
2016-03-20,05:52:00,67
2016-03-20,06:04:00,67
2016-03-20,06:04:00,75
2016-03-20,06:27:00,75
2016-03-20,06:42:00,71
2016-03-20,06:55:00,71
2016-03-20,07:09:00,71
2016-03-20,07:09:00,76
2016-03-20,07:30:00,76
2016-03-20,07:39:00,72
2016-03-20,08:00:00,72
2016-03-20,08:14:00,71
2016-03-20,08:14:00,84
2016-03-20,08:28:00,84
2016-03-20,08:37:00,90
2016-03-20,08:51:00,81
2016-03-20,09:00:00,81
2016-03-20,09:16:00,74
2016-03-20,09:33:00,78
2016-03-20,09:33:00,100
2016-03-20,09:33:00,80
2016-03-20,10:05:00,80
2016-03-20,10:08:00,93
2016-03-20,10:08:00,85
2016-03-20,10:25:00,83
2016-03-20,10:38:00,82
2016-03-20,10:51:00,90
2016-03-20,11:05:00,88
2016-03-20,11:19:00,89
2016-03-20,11:19:00,83
2016-03-20,11:38:00,86
2016-03-20,11:46:00,94
2016-03-20,11:46:00,89
2016-03-20,12:11:00,86
2016-03-20,12:11:00,93
2016-03-20,12:11:00,87
2016-03-20,12:26:00,87
2016-03-20,12:35:00,87
2016-03-20,13:02:00,83
2016-03-20,13:17:00,83
2016-03-20,13:28:00,88
2016-03-20,13:36:00,96
2016-03-20,13:36:00,86
2016-03-20,14:01:00,83
2016-03-20,14:10:00,86
2016-03-20,14:29:00,83
2016-03-20,14:48:00,83
2016-03-20,14:56:00,77
2016-03-20,15:09:00,77
2016-03-20,15:25:00,76
2016-03-20,15:31:00,79
2016-03-20,15:46:00,85
2016-03-20,15:49:00,73
2016-03-20,16:01:00,78
2016-03-20,16:16:00,73
2016-03-20,16:29:00,73
2016-03-20,16:47:00,73
2016-03-20,17:02:00,73
2016-03-20,17:04:00,82
2016-03-20,17:14:00,75
2016-03-20,17:32:00,69
2016-03-20,17:44:00,68
2016-03-20,17:58:00,68
2016-03-20,17:58:00,74
2016-03-20,18:06:00,79
2016-03-20,18:23:00,79
2016-03-20,18:39:00,79
2016-03-20,18:39:00,100
2016-03-20,18:39:00,87
2016-03-20,18:39:00,87
2016-03-20,18:39:00,79
2016-03-20,19:14:00,91
2016-03-20,19:25:00,77
2016-03-20,19:35:00,75
2016-03-20,19:59:00,75
2016-03-20,20:06:00,66
2016-03-20,20:18:00,66
2016-03-20,20:35:00,70
2016-03-20,20:47:00,70
2016-03-20,21:06:00,70
2016-03-20,21:06:00,66
2016-03-20,21:06:00,66
2016-03-20,21:53:00,65
2016-03-20,22:10:00,79
2016-03-20,22:24:00,70
2016-03-20,22:36:00,74
2016-03-20,22:36:00,67
2016-03-20,22:49:00,75
2016-03-20,23:02:00,73
2016-03-20,23:14:00,73
2016-03-20,23:28:00,68
2016-03-20,23:43:00,74
2016-03-20,23:59:00,74
2016-03-21,00:01:00,63
2016-03-21,00:21:00,67
2016-03-21,00:34:00,67
2016-03-21,00:48:00,68
2016-03-21,01:08:00,62
2016-03-21,01:12:00,71
2016-03-21,01:24:00,77
2016-03-21,01:24:00,67
2016-03-21,01:24:00,75
2016-03-21,01:34:00,70
2016-03-21,01:47:00,70
2016-03-21,02:01:00,70
2016-03-21,02:09:00,70
2016-03-21,02:09:00,70
2016-03-21,02:40:00,65
2016-03-21,02:54:00,65
2016-03-21,03:06:00,65
2016-03-21,03:21:00,61
2016-03-21,03:21:00,61
2016-03-21,04:00:00,62
2016-03-21,04:12:00,62
2016-03-21,04:12:00,59
2016-03-21,04:38:00,59
2016-03-21,04:54:00,62
2016-03-21,05:15:00,62
2016-03-21,05:24:00,62
